mode: set
_/go/companies/api.go:54.37,62.27 5 1
_/go/companies/api.go:68.2,68.31 1 1
_/go/companies/api.go:75.2,75.46 1 0
_/go/companies/api.go:82.2,83.13 2 0
_/go/companies/api.go:62.27,66.3 3 1
_/go/companies/api.go:68.31,73.3 4 1
_/go/companies/api.go:75.46,80.3 4 0
_/go/companies/api.go:86.126,102.48 10 0
_/go/companies/api.go:110.2,112.102 2 0
_/go/companies/api.go:102.48,108.3 5 0
_/go/companies/api.go:112.102,115.3 2 0
_/go/companies/api.go:115.3,118.3 2 0
_/go/companies/api.go:121.120,137.97 10 0
_/go/companies/api.go:137.97,141.3 3 0
_/go/companies/api.go:141.3,144.3 2 0
_/go/companies/api.go:147.121,163.97 10 0
_/go/companies/api.go:163.97,167.3 3 0
_/go/companies/api.go:167.3,170.3 2 0
_/go/companies/api.go:173.117,186.92 9 0
_/go/companies/api.go:186.92,191.3 4 0
_/go/companies/api.go:191.3,194.3 2 0
_/go/companies/api.go:197.121,204.86 5 0
_/go/companies/api.go:214.2,214.8 1 0
_/go/companies/api.go:204.86,209.3 4 0
_/go/companies/api.go:209.3,212.3 2 0
_/go/companies/companies.go:36.13,78.2 13 0
_/go/companies/companies.go:80.41,85.35 3 0
_/go/companies/companies.go:91.2,91.12 1 0
_/go/companies/companies.go:85.35,90.3 4 0
_/go/companies/companies.go:94.28,128.2 18 0
_/go/companies/companies.go:131.49,135.16 3 0
_/go/companies/companies.go:141.2,143.16 2 0
_/go/companies/companies.go:135.16,139.3 3 0
_/go/companies/company_repo.go:20.85,23.2 2 0
_/go/companies/company_repo.go:25.133,42.103 8 0
_/go/companies/company_repo.go:48.2,50.17 2 0
_/go/companies/company_repo.go:42.103,46.3 3 0
_/go/companies/company_repo.go:53.109,67.76 8 0
_/go/companies/company_repo.go:73.2,75.26 2 0
_/go/companies/company_repo.go:67.76,71.3 3 0
_/go/companies/company_repo.go:78.139,93.84 8 0
_/go/companies/company_repo.go:100.2,100.43 1 0
_/go/companies/company_repo.go:107.2,107.133 1 0
_/go/companies/company_repo.go:113.2,114.12 2 0
_/go/companies/company_repo.go:93.84,97.3 3 0
_/go/companies/company_repo.go:100.43,105.3 4 0
_/go/companies/company_repo.go:107.133,111.3 3 0
_/go/companies/company_repo.go:118.156,134.16 8 0
_/go/companies/company_repo.go:141.2,143.18 2 0
_/go/companies/company_repo.go:134.16,139.3 3 0
